Matric,Timeslot
A0311870L,WED 10AM-12PM
A0311874A,WED 9AM-11AM
A0311876Y,WED 9AM-11AM
A0311877X,TUE 3PM-5PM
A0311887W,TUE 12PM-2PM
A0311889R,TUE 4PM-6PM
A0311890H,WED 10AM-12PM
A0311892A,WED 11AM-1PM
A0311921R,TUE 4PM-6PM
A0312021H,TUE 10AM-12PM
A0312024B,TUE 11AM-1PM
A0312063W,WED 10AM-12PM
A0312075N,TUE 12PM-2PM
A0312101J,TUE 12PM-2PM
A0312130E,TUE 10AM-12PM
A0312147N,WED 9AM-11AM
A0312213B,TUE 9AM-11AM
A0312269E,TUE 3PM-5PM
A0312292M,TUE 10AM-12PM
A0312333W,WED 10AM-12PM
